molecule	query	chr	ident	length	mismatches	gaps	qstart	qend	sstart	send	evalue	bitscore
5S	E00049	chr01	93.277	119	8	0	1	119	2073281	2073399	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2074984	2075102	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2076693	2076811	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2078420	2078538	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2080123	2080241	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2081820	2081938	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2083530	2083648	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2085227	2085345	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2086954	2087072	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2088670	2088788	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2090379	2090497	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2092070	2092188	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2093779	2093897	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2095506	2095624	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2102471	2102589	4.62e-46	183
5S	E00049	chr01	93.277	119	8	0	1	119	2104168	2104286	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3643482	3643600	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3645218	3645336	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3652437	3652555	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3654155	3654273	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3655904	3656022	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3657653	3657771	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3659413	3659531	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3661130	3661248	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3662873	3662991	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3664616	3664734	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3666376	3666494	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3668093	3668211	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3669836	3669954	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3671572	3671690	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3673321	3673439	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3675089	3675207	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3676850	3676968	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3683681	3683799	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3685448	3685566	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3687197	3687315	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3688921	3689039	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3690663	3690781	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3692381	3692499	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3694112	3694230	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3695830	3695948	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3697561	3697679	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3699279	3699397	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3701028	3701146	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3702777	3702895	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3704531	3704649	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3706280	3706398	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3708029	3708147	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3709783	3709901	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3711514	3711632	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3713273	3713391	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3715022	3715140	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3716753	3716871	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3718484	3718602	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3720235	3720353	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3721966	3722084	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3723697	3723815	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3725428	3725546	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3727146	3727264	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3728889	3729007	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3730620	3730738	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3732351	3732469	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3734094	3734212	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3735827	3735945	4.62e-46	183
5S	E00049	chr08	93.277	119	8	0	1	119	3737560	3737678	4.62e-46	183
5S	E00049	chr08	90.244	82	8	0	1	82	3739297	3739378	1.97e-25	114
